timestamp,pod_id,layer,slot,crop_type,growth_stage,disease_flag,confidence,action,reason,ground_truth_stage,ground_truth_diseased
2026-09-13T12:25:20.477002+00:00,L0-P0,0,0,cabbage,S9,False,0.479,schedule_monitoring,low-confidence reading (0.48 < 0.6) -- re-check before trusting it,S2_3,False
2026-09-13T12:25:21.287186+00:00,L0-P1,0,1,lettuce,Leafy growth,False,0.985,log_and_continue,"healthy, confident reading (0.98) at stage 'Leafy growth'",Leafy growth,False
2026-09-13T12:25:22.081882+00:00,L0-P2,0,2,mushroom,Juvenile,False,0.528,schedule_monitoring,low-confidence reading (0.53 < 0.6) -- re-check before trusting it,Harvest,True
2026-09-13T12:25:22.883202+00:00,L0-P3,0,3,cabbage,S9,False,0.901,schedule_monitoring,"healthy, confident, and near harvest ('S9') -- tighten monitoring cadence",S9,False
2026-09-13T12:25:23.858587+00:00,L1-P3,1,3,lettuce,Harvest stage,False,0.883,schedule_monitoring,"healthy, confident, and near harvest ('Harvest stage') -- tighten monitoring cadence",Harvest stage,False
2026-09-13T12:25:24.656666+00:00,L1-P2,1,2,cabbage,S6_7,True,0.852,flag_for_treatment,disease detected at stage 'S6_7' with confidence 0.85,S6_7,True
2026-09-13T12:25:25.473949+00:00,L1-P1,1,1,mushroom,Intermediate,False,0.949,schedule_monitoring,"healthy, confident, and near harvest ('Intermediate') -- tighten monitoring cadence",Intermediate,False
2026-09-13T12:25:26.270811+00:00,L1-P0,1,0,lettuce,Early Growth,False,0.979,log_and_continue,"healthy, confident reading (0.98) at stage 'Early Growth'",Early Growth,False
2026-09-13T12:25:27.239899+00:00,L2-P0,2,0,mushroom,Juvenile,False,0.814,log_and_continue,"healthy, confident reading (0.81) at stage 'Juvenile'",Juvenile,False
2026-09-13T12:25:28.054876+00:00,L2-P1,2,1,cabbage,S4_5,False,0.98,log_and_continue,"healthy, confident reading (0.98) at stage 'S4_5'",S4_5,False
2026-09-13T12:25:28.847476+00:00,L2-P2,2,2,lettuce,Head formation,True,0.844,flag_for_treatment,disease detected at stage 'Head formation' with confidence 0.84,Head formation,True
2026-09-13T12:25:29.662639+00:00,L2-P3,2,3,mushroom,Harvest,False,0.873,schedule_monitoring,"healthy, confident, and near harvest ('Harvest') -- tighten monitoring cadence",Harvest,False
