timestamp,pod_id,row,col,layer,side,crop_type,growth_stage,disease_flag,confidence,action,reason,ground_truth_stage,ground_truth_diseased
2026-09-14T06:17:02.545807+00:00,R0C0-L0-F,0,0,0,front,cabbage,S2_3,True,0.888,flag_for_treatment,disease detected at stage 'S2_3' with confidence 0.89,S2_3,False
2026-09-14T06:17:02.636522+00:00,R0C0-L0-B,0,0,0,back,lettuce,Harvest stage,False,0.745,schedule_monitoring,"healthy, confident, and near harvest ('Harvest stage') -- tighten monitoring cadence",Leafy growth,False
2026-09-14T06:17:02.711009+00:00,R0C0-L1-F,0,0,1,front,mushroom,Harvest,False,0.745,schedule_monitoring,"healthy, confident, and near harvest ('Harvest') -- tighten monitoring cadence",Harvest,True
2026-09-14T06:17:02.777893+00:00,R0C0-L1-B,0,0,1,back,cabbage,S4_5,False,0.92,log_and_continue,"healthy, confident reading (0.92) at stage 'S4_5'",S9,False
2026-09-14T06:17:02.832212+00:00,R0C0-L2-F,0,0,2,front,lettuce,Head formation,True,0.92,flag_for_treatment,disease detected at stage 'Head formation' with confidence 0.92,Early Growth,False
2026-09-14T06:17:02.921869+00:00,R0C0-L2-B,0,0,2,back,mushroom,Harvest,False,0.557,schedule_monitoring,low-confidence reading (0.56 < 0.6) -- re-check before trusting it,Intermediate,False
2026-09-14T06:17:02.995310+00:00,R0C0-L3-F,0,0,3,front,cabbage,S8,False,0.749,schedule_monitoring,"healthy, confident, and near harvest ('S8') -- tighten monitoring cadence",S6_7,True
2026-09-14T06:17:03.062222+00:00,R0C0-L3-B,0,0,3,back,lettuce,Head formation,True,0.796,flag_for_treatment,disease detected at stage 'Head formation' with confidence 0.80,Harvest stage,False
2026-09-14T06:17:03.190761+00:00,R0C1-L3-F,0,1,3,front,mushroom,Juvenile,False,0.967,log_and_continue,"healthy, confident reading (0.97) at stage 'Juvenile'",Harvest,True
2026-09-14T06:17:03.237717+00:00,R0C1-L3-B,0,1,3,back,cabbage,S6_7,False,0.606,schedule_monitoring,healthy but marginal confidence (0.61) -- re-check sooner,S9,False
2026-09-14T06:17:03.313240+00:00,R0C1-L2-F,0,1,2,front,cabbage,S2_3,False,0.917,log_and_continue,"healthy, confident reading (0.92) at stage 'S2_3'",S2_3,False
2026-09-14T06:17:03.361689+00:00,R0C1-L2-B,0,1,2,back,lettuce,Early Growth,False,0.913,log_and_continue,"healthy, confident reading (0.91) at stage 'Early Growth'",Leafy growth,False
2026-09-14T06:17:03.417119+00:00,R0C1-L1-F,0,1,1,front,lettuce,Leafy growth,True,0.822,flag_for_treatment,disease detected at stage 'Leafy growth' with confidence 0.82,Head formation,True
2026-09-14T06:17:03.517260+00:00,R0C1-L1-B,0,1,1,back,mushroom,Juvenile,False,0.863,log_and_continue,"healthy, confident reading (0.86) at stage 'Juvenile'",Harvest,False
2026-09-14T06:17:03.575135+00:00,R0C1-L0-F,0,1,0,front,mushroom,Juvenile,False,0.606,schedule_monitoring,healthy but marginal confidence (0.61) -- re-check sooner,Juvenile,False
2026-09-14T06:17:03.642144+00:00,R0C1-L0-B,0,1,0,back,cabbage,S6_7,False,0.698,schedule_monitoring,healthy but marginal confidence (0.70) -- re-check sooner,S4_5,False
2026-09-14T06:17:03.745442+00:00,R0C2-L0-F,0,2,0,front,lettuce,Early Growth,False,0.783,log_and_continue,"healthy, confident reading (0.78) at stage 'Early Growth'",Early Growth,False
2026-09-14T06:17:03.792410+00:00,R0C2-L0-B,0,2,0,back,mushroom,Juvenile,False,0.905,log_and_continue,"healthy, confident reading (0.91) at stage 'Juvenile'",Intermediate,False
2026-09-14T06:17:03.847541+00:00,R0C2-L1-F,0,2,1,front,cabbage,S4_5,False,0.93,log_and_continue,"healthy, confident reading (0.93) at stage 'S4_5'",S6_7,True
2026-09-14T06:17:03.893749+00:00,R0C2-L1-B,0,2,1,back,lettuce,Harvest stage,False,0.82,schedule_monitoring,"healthy, confident, and near harvest ('Harvest stage') -- tighten monitoring cadence",Harvest stage,False
2026-09-14T06:17:03.969158+00:00,R0C2-L2-F,0,2,2,front,mushroom,Intermediate,False,0.603,schedule_monitoring,healthy but marginal confidence (0.60) -- re-check sooner,Juvenile,False
2026-09-14T06:17:04.036976+00:00,R0C2-L2-B,0,2,2,back,cabbage,S9,False,0.667,schedule_monitoring,healthy but marginal confidence (0.67) -- re-check sooner,S4_5,False
2026-09-14T06:17:04.112742+00:00,R0C2-L3-F,0,2,3,front,lettuce,Harvest stage,False,0.658,schedule_monitoring,healthy but marginal confidence (0.66) -- re-check sooner,Head formation,True
2026-09-14T06:17:04.183971+00:00,R0C2-L3-B,0,2,3,back,mushroom,Harvest,True,0.798,flag_for_treatment,disease detected at stage 'Harvest' with confidence 0.80,Harvest,False
2026-09-14T06:17:04.394255+00:00,R1C2-L3-F,1,2,3,front,lettuce,Harvest stage,False,0.756,schedule_monitoring,"healthy, confident, and near harvest ('Harvest stage') -- tighten monitoring cadence",Head formation,True
2026-09-14T06:17:04.461617+00:00,R1C2-L3-B,1,2,3,back,mushroom,Harvest,False,0.703,schedule_monitoring,"healthy, confident, and near harvest ('Harvest') -- tighten monitoring cadence",Harvest,False
2026-09-14T06:17:04.537439+00:00,R1C2-L2-F,1,2,2,front,mushroom,Intermediate,False,0.71,schedule_monitoring,"healthy, confident, and near harvest ('Intermediate') -- tighten monitoring cadence",Juvenile,False
2026-09-14T06:17:04.605196+00:00,R1C2-L2-B,1,2,2,back,cabbage,S6_7,False,0.847,log_and_continue,"healthy, confident reading (0.85) at stage 'S6_7'",S4_5,False
2026-09-14T06:17:04.660171+00:00,R1C2-L1-F,1,2,1,front,cabbage,S4_5,True,0.88,flag_for_treatment,disease detected at stage 'S4_5' with confidence 0.88,S6_7,True
2026-09-14T06:17:04.756664+00:00,R1C2-L1-B,1,2,1,back,lettuce,Head formation,False,0.762,schedule_monitoring,"healthy, confident, and near harvest ('Head formation') -- tighten monitoring cadence",Harvest stage,False
2026-09-14T06:17:04.831022+00:00,R1C2-L0-F,1,2,0,front,lettuce,Head formation,True,0.804,flag_for_treatment,disease detected at stage 'Head formation' with confidence 0.80,Early Growth,False
2026-09-14T06:17:04.926515+00:00,R1C2-L0-B,1,2,0,back,mushroom,Intermediate,False,0.687,schedule_monitoring,healthy but marginal confidence (0.69) -- re-check sooner,Intermediate,False
